id	locality	countryCode	occurrenceStatus	establishmentMeans	pathway	eventDate
165409		NZ	present	introduced		
165410	Victorian tea tree	NZ	present	introduced		
165411		NZ	present	introduced		
165412		NZ	present	introduced		
165413	oxeye daisy	NZ	present	introduced		
165414		NZ	present	introduced	Ornamental	1985/1986
165415	Himalayan honeysuckle	NZ	present	introduced		
165416	Siberian lyme grass	NZ	present	introduced		
165417		NZ	present	introduced		
165418	tree privet	NZ	present	introduced		
165419	Californian privet	NZ	present	introduced		
165420	Chinese privet	NZ	present	introduced		
165421	European privet	NZ	present	introduced		
165422	Formosan lily	NZ	present	introduced		
165423		NZ	present	introduced		
165424		NZ	present	introduced		
165425		NZ	present	introduced		
165426		NZ	present	introduced		
165427		NZ	present	introduced		
165428		NZ	present	introduced		
165429		NZ	present	introduced		2020
165430		NZ	present	introduced		
165431	tall fescue	NZ	present	introduced		
165432	perennial rye grass	NZ	present	introduced		
165433	tree lomatia	NZ	present	introduced		
165434	Japanese honeysuckle	NZ	present	introduced		
165435	climbing gloxinia	NZ	present	introduced		
165436		NZ	present	introduced		
165437	primrose willow	NZ	present	introduced		
165438	Chilean myrtle	NZ	present	introduced		
165439	tree lupin	NZ	present	introduced		
165440	Russell lupin	NZ	present	introduced		
165441	boxthorn	NZ	present	introduced		
165442	gypsywort	NZ	present	introduced		
165443		NZ	present	introduced	Aquarium trade	1977
165444		NZ	present	introduced	Aquarium trade	
165445		NZ	present	introduced		
165446		NZ	present	introduced		
165447	purple loosestrife	NZ	present	introduced		
165448		NZ	present	introduced		
165449		NZ	present	introduced		
165450		NZ	present	introduced		
165451		NZ	present	introduced		
165452		NZ	present	introduced		
165453	tree mallow	NZ	present	introduced		
165454		NZ	present	introduced		
165455	Chilean maiten	NZ	present	introduced		
165456	black medick	NZ	present	introduced		
165457		NZ	present	introduced		
165458		NZ	present	introduced		
165459		NZ	present	introduced	aquarium trade	1920s
165460		NZ	present	introduced		
165461		NZ	present	introduced		
165462		NZ	present	introduced		
165463	Cape honey flower	NZ	present	introduced		
165464		NZ	present	introduced		2019
165465		NZ	present	introduced		
165466		NZ	present	introduced		
165467		NZ	present	introduced		
165468	Greentail or ‛greasy-back’ prawn	NZ	present	introduced		2009
165469		NZ	present	introduced		
165470		NZ	present	introduced		
165471	Himalayan fairy grass	NZ	present	introduced		
165472		NZ	present	introduced		
165473		NZ	present	introduced		
165474		NZ	present	introduced		
165475		NZ	present	introduced		
165476		NZ	present	introduced		
165477		NZ	present	introduced		
165478		NZ	present	introduced		
165479	Cape tulip	NZ	present	introduced		
165480		NZ	present	introduced		2021
165481		NZ	present	introduced		
165482		NZ	present	introduced		
165483		NZ	present	introduced		
165484		NZ	present	introduced		
165485		NZ	present	introduced		
165486		NZ	present	introduced		
165487	Tasmanian ngaio	NZ	present	introduced		
165488	false tamarisk	NZ	present	introduced		
165489	parrot’s feather	NZ	present	introduced		
165490	mat grass	NZ	present	introduced		
165491	Chilean needle grass	NZ	present	introduced		
165492	fine stemmed needle grass	NZ	present	introduced		
165493	nasella tussock	NZ	present	introduced		
165494		NZ	present	introduced		
165495		NZ	present	introduced		
165496	tuber ladder fern	NZ	present	introduced		
165497		NZ	present	introduced		
165498		NZ	present	introduced		
165499	common water lily	NZ	present	introduced		
165500	Mexican water lily	NZ	present	introduced		
165501		NZ	present	introduced		
165502		NZ	present	introduced		
165503		NZ	present	introduced		
165504		NZ	present	introduced		
165505		NZ	present	introduced		
165506		NZ	present	introduced		
165507	mickey mouse plant	NZ	present	introduced		
165508		NZ	present	introduced		
165509		NZ	present	introduced		
165510	European olive and African olive	NZ	present	introduced		
165511		NZ	present	introduced		
165512		NZ	present	introduced		
165513		NZ	present	introduced		
165514		NZ	present	introduced		
165515	drooping prickly pear	NZ	present	introduced		
165516		NZ	present	introduced		
165517		NZ	present	introduced		
165518		NZ	present	introduced		
165519		NZ	present	introduced		
165520		NZ	present	introduced		
165521		NZ	present	introduced		
165522	royal fern	NZ	present	introduced		
165523	boneseed	NZ	present	introduced		
165524		NZ	present	introduced		
165525		NZ	present	introduced		
165526		NZ	present	introduced		
165527		NZ	present	introduced		
165528		NZ	present	introduced		2019
165529		NZ	present	introduced		2019
165530		NZ	present	introduced		2021
165531		NZ	present	introduced		
165532		NZ	present	introduced		2019
165533		NZ	present	introduced		
165534	brush wattle	NZ	present	introduced		
165535		NZ	present	introduced		
165536	Mercer grass	NZ	present	introduced		
165537	saltwater paspalum	NZ	present	introduced		
165538		NZ	present	introduced		
165539	blue passionflower	NZ	present	introduced		
165540	black passionfruit	NZ	present	introduced		
165541	banana passionfruit	NZ	present	introduced		
165542	yellow passionfruit	NZ	present	introduced		
165543	banana passionfruit	NZ	present	introduced		
165544	banana passionfruit	NZ	present	introduced		
165545	passion vine	NZ	present	introduced		
165546		NZ	present	introduced		
165547		NZ	present	introduced		
165548		NZ	present	introduced		1868
165549		NZ	present	introduced		
165550	pink-headed knotweed	NZ	present	introduced		
165551		NZ	present	introduced		
165552	reed canary grass	NZ	present	introduced		
165553		NZ	present	introduced		
165554		NZ	present	introduced		
165555		NZ	present	introduced		
165556		NZ	present	introduced		
165557		NZ	present	introduced		
165558		NZ	present	introduced		
165559		NZ	present	introduced		
165560	Phoenix palm	NZ	present	introduced		
165561		NZ	present	introduced		
165562	tall reed	NZ	present	introduced		
165563		NZ	present	introduced		
165564	fishpole bamboo	NZ	present	introduced		
165565		NZ	present	introduced		
165566		NZ	present	introduced		
165567		NZ	present	introduced		
165568	inkweed	NZ	present	introduced		
165569	mouse-ear hawkweed	NZ	present	introduced		
165570	king devil and tall hawkweed	NZ	present	introduced		
165571	contorta pine	NZ	present	introduced		
165572	Aleppo pine	NZ	present	introduced		
165573	western white pine	NZ	present	introduced		
165574	dwarf mountain pine	NZ	present	introduced		
165575	bishop pine	NZ	present	introduced		
165576	Corsican pine and black pine	NZ	present	introduced		
165577	Mexican weeping pine	NZ	present	introduced		
165578	maritime pine	NZ	present	introduced		
165579	Ponderosa pine	NZ	present	introduced		
165580	radiata pine	NZ	present	introduced		
165581	eastern white pine	NZ	present	introduced		
165582	Scots pine	NZ	present	introduced		
165583	Japanese black pine	NZ	present	introduced		
165584	mountain pine	NZ	present	introduced		
165585	sweet pittosporum	NZ	present	introduced		
165586		NZ	present	introduced		
165587		NZ	present	introduced	aquarium trade	1968
165588		NZ	present	introduced		
165589		NZ	present	introduced		
165590	purple-leaved plectranthus	NZ	present	introduced		
165591	blue spur flower	NZ	present	introduced		
165592		NZ	present	introduced		
165593		NZ	present	introduced		
165594	annual poa	NZ	present	introduced		
165595		NZ	present	introduced		
165596		NZ	present	introduced		
165597		NZ	present	introduced		
165598		NZ	present	introduced		
165599		NZ	present	introduced		
165600		NZ	present	introduced		
165601		NZ	present	introduced		
165602		NZ	present	introduced		
165603		NZ	present	introduced		
165604		NZ	present	introduced		
165605	sweet pea shrub	NZ	present	introduced		
165606	common polypody	NZ	present	introduced		
165607		NZ	present	introduced		
165608		NZ	present	introduced		
165609	hazel pomaderris	NZ	present	introduced		
165610	white poplar	NZ	present	introduced		
165611	curled pondweed	NZ	present	introduced		
165612		NZ	present	introduced		
165613		NZ	present	introduced		
165614	sweet cherry	NZ	present	introduced		
165615	bell-flowered cherry, Taiwan cherry	NZ	present	introduced		
165616	plum	NZ	present	introduced		
165617	cherry laurel	NZ	present	introduced		
165618	Portuguese laurel	NZ	present	introduced		
165619	rum cherry	NZ	present	introduced		
165620	Japanese hill cherry	NZ	present	introduced		
165621		NZ	present	introduced		
165622		NZ	present	introduced		
165623	arrow bamboo	NZ	present	introduced		
165624		NZ	present	introduced	aquarium trade	1940
165625	Douglas fir	NZ	present	introduced		
165626	purple guava	NZ	present	introduced		
165627	yellow guava	NZ	present	introduced		
165628	Dally pine	NZ	present	introduced		
165629	Cretan brake	NZ	present	introduced		
165630	kudzu	NZ	present	introduced		
165631	pultenaea	NZ	present	introduced		
165632		NZ	present	introduced		
165633	narrowleaf firethorn	NZ	present	introduced		
165634		NZ	present	introduced		
165635		NZ	present	introduced		
165636		NZ	present	introduced		
165637		NZ	present	introduced		
165638	European oak	NZ	present	introduced		
165639		NZ	present	introduced		
165640		NZ	present	introduced		
165641		NZ	present	introduced		
165642		NZ	present	introduced		
165643		NZ	present	introduced		
165644		NZ	present	introduced		
165645	bohemian knotweed	NZ	present	introduced		
165646	Asiatic knotweed	NZ	present	introduced		
165647	giant knotweed	NZ	present	introduced		
165648	evergreen buckthorn	NZ	present	introduced		
165649	loquat	NZ	present	introduced		
165650	sexton’s bride	NZ	present	introduced		
165651	rhododendron	NZ	present	introduced		
165652		NZ	present	introduced		
165653		NZ	present	introduced		
165654	flowering currant	NZ	present	introduced		
165655	gooseberry	NZ	present	introduced		
165656	castor oil plant	NZ	present	introduced		
165657	black locust, false acacia	NZ	present	introduced		
165658	velvet groundsel	NZ	present	introduced		
165659		NZ	present	introduced		
165660	sweet briar	NZ	present	introduced		
165661		NZ	present	introduced		
165662	Armenian blackberry	NZ	present	introduced		
165663	blackberry	NZ	present	introduced		
165664	blackberry	NZ	present	introduced		
165665	blackberry	NZ	present	introduced		
165666	cut-leaved blackberry	NZ	present	introduced		
165667	blackberry	NZ	present	introduced		
165668	Japanese wineberry	NZ	present	introduced		
165669	blackberry	NZ	present	introduced		
165670	blackberry	NZ	present	introduced		
165671	blackberry	NZ	present	introduced		
165672	climbing dock	NZ	present	introduced		
165673		NZ	present	introduced		
165674		NZ	present	introduced		
165675	Mediterranean fanworm	NZ	present	introduced		2008
165676	procumbent pearlwort	NZ	present	introduced		
165677	grey willow	NZ	present	introduced		
165678	crack willow	NZ	present	introduced		
165679	purple willow	NZ	present	introduced		
165680		NZ	present	introduced		
165681		NZ	present	introduced		
165682		NZ	present	introduced		
165683	lily of the valley vine	NZ	present	introduced		
165684		NZ	present	introduced		
165685		NZ	present	introduced		
165686	elder	NZ	present	introduced		
165687		NZ	present	introduced		
165688	Brazilian pepper tree	NZ	present	introduced		
165689		NZ	present	introduced		
165690		NZ	present	introduced		
165691		NZ	present	introduced		
165692	California bullrush	NZ	present	introduced		
165693	stonecrop	NZ	present	introduced		
165694	shrubby stonecrop	NZ	present	introduced		
165695	African clubmoss, selaginella	NZ	present	introduced		
165696	Cape ivy	NZ	present	introduced		
165697	purple groundsel	NZ	present	introduced		
165698	holly-leaved senecio	NZ	present	introduced		
165699	gravel groundsel	NZ	present	introduced		
165700	Brazilian buttercup	NZ	present	introduced		
165701	palm grass	NZ	present	introduced		
165702	yellow bristle grass	NZ	present	introduced		
165703	variegated thistle	NZ	present	introduced		
165704		NZ	present	introduced		
165705	bittersweet	NZ	present	introduced		
165706	potato vine	NZ	present	introduced		
165707	apple of sodom	NZ	present	introduced		
165708	white-edged nightshade	NZ	present	introduced		
165709	woolly nightshade	NZ	present	introduced		
165710	Jerusalem cherry	NZ	present	introduced		
165711	rowan	NZ	present	introduced		
165712	Spanish broom	NZ	present	introduced		
165713	Australian tree fern	NZ	present	introduced		
165714	Japanese meadowsweet	NZ	present	introduced		
165715	spartina	NZ	present	introduced		
165716	American spartina	NZ	present	introduced		
165717	cord grass	NZ	present	introduced		
165718	buffalo grass	NZ	present	introduced		
165719		NZ	present	introduced		
165720		NZ	present	introduced		
165721		NZ	present	introduced		
165722		NZ	present	introduced		
165723		NZ	present	introduced		
165724		NZ	present	introduced		
165725		NZ	present	introduced		
165726		NZ	present	introduced		
165727		NZ	present	introduced		
165728	Clubbed tunicate	NZ	present	introduced		2004
165729		NZ	present	introduced		
165730		NZ	present	introduced		
165731	colonial ascidian	NZ	present	introduced		2015
165732		NZ	present	introduced		2022
165733	brush cherry	NZ	present	introduced		
165734	monkey apple, lilly pilly	NZ	present	introduced		
165735		NZ	present	introduced		
165736		NZ	present	introduced		
165737		NZ	present	introduced		
165738	Cape honeysuckle	NZ	present	introduced		
165739		NZ	present	introduced		
165740		NZ	present	introduced		
165741		NZ	present	introduced		
165742		NZ	present	introduced		
165743		NZ	present	introduced		
165744		NZ	present	introduced		
165745		NZ	present	introduced		
165746		NZ	present	introduced		
165747	Fragile clam	NZ	present	introduced		1971
165748	sea couch	NZ	present	introduced		
165749	tall wheatgrass	NZ	present	introduced		
165750	black-eyed Susan	NZ	present	introduced		
165751	wild thyme	NZ	present	introduced		
165752		NZ	present	introduced		
165753	Japanese wax tree	NZ	present	introduced		
165754	Chinese windmill palm	NZ	present	introduced		
165755	tradescantia	NZ	present	introduced		
165756		NZ	present	introduced		
165757		NZ	present	introduced		
165758		NZ	present	introduced		
165759	nasturtium	NZ	present	introduced		
165760	Chilean flame creeper	NZ	present	introduced		
165761		NZ	present	introduced		
165762		NZ	present	introduced		
165763	coltsfoot	NZ	present	introduced		
165764	Chilean guava	NZ	present	introduced		
165765	gorse	NZ	present	introduced		
165766		NZ	present	introduced		
165767		NZ	present	introduced		
165768		NZ	present	introduced		
165769		NZ	present	introduced		
165770		NZ	present	introduced		
165771		NZ	present	introduced		
165772		NZ	present	introduced		
165773		NZ	present	introduced		2019
165774		NZ	present	introduced		
165775	undaria	NZ	present	introduced		1987
165776	bladderwort	NZ	present	introduced		
165777	eel grass	NZ	present	introduced		
165778		NZ	present	introduced		
165779		NZ	present	introduced		
165780	woolly mullein	NZ	present	introduced		
165781		NZ	present	introduced		
165782		NZ	present	introduced		
165783		NZ	present	introduced		
165784		NZ	present	introduced		
165785	periwinkle	NZ	present	introduced		
