id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	taxonomicStatus	taxonRemarks	modified
165045	165045	Anguinella palmata	Anguinella palmata Van Beneden, 1845	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Nolellidae	SPECIES	ACCEPTED		2019
165046	165046	Anredera cordifolia	Anredera cordifolia (Ten.) Steenis	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Basellaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165047	165047	Anser anser	Anser anser (Linnaeus, 1758)	Animalia	Chordata	Aves	Anseriformes	Anatidae	SPECIES	ACCEPTED		2019
165048	165048	Antithamnionella ternifolia	Antithamnionella ternifolia (Hook.f. & Harv.) Lyle	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	SPECIES	ACCEPTED		2024
165049	165049	Apis mellifera	Apis mellifera Linnaeus, 1758	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	SPECIES	ACCEPTED		2019
165050	165050	Apocorophium acutum	Apocorophium acutum (Chevreux, 1908)	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	SPECIES	ACCEPTED		2019
165051	165051	Aponogeton distachyos	Aponogeton distachyos L.f.	Plantae	Tracheophyta	Liliopsida	Alismatales	Aponogetonaceae	SPECIES	ACCEPTED		2024
165052	165052	Araujia sericifera	Araujia sericifera Brot.	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165053	165053	Arbopercula angulata	Arbopercula angulata (Levinsen, 1909)	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Electridae	SPECIES	ACCEPTED		2019
165054	165054	Archontophoenix cunninghamiana	Archontophoenix cunninghamiana (H.Wendl.) H.Wendl. & Drude	Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	SPECIES	ACCEPTED		2024
165055	165055	Arctium minus	Arctium minus (Hill) Bernh.	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED		2024
165056	165056	Arcuatula senhousia	Arcuatula senhousia (Benson, 1842)	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	SPECIES	ACCEPTED		2019
165057	165057	Arcuatula senhousia	Arcuatula senhousia (W.H.Benson, 1842)	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	SPECIES	ACCEPTED		2024
165058	165058	Arenigobius bifrenatus	Arenigobius bifrenatus (Kner, 1865)	Animalia	Chordata	Actinopterygii	Perciformes	Gobiidae	SPECIES	ACCEPTED		2019
165059	165059	Arion distinctus	Arion distinctus Mabille, 1868	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	SPECIES	ACCEPTED		2019
165060	165060	Arion hortensis	Arion hortensis A.Férussac, 1819	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	SPECIES	ACCEPTED		2019
165061	165061	Arion intermedius	Arion intermedius Normand, 1852	Animalia	Mollusca	Gastropoda	Stylommatophora	Arionidae	SPECIES	ACCEPTED		2019
165062	165062	Aristea ecklonii	Aristea ecklonii Baker	Plantae	Tracheophyta	Liliopsida	Asparagales	Iridaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165063	165063	Artemisia verlotiorum	Artemisia verlotiorum Lamotte	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED		2024
165064	165064	Arum italicum	Arum italicum Mill.	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	SPECIES	ACCEPTED		2024
165065	165065	Arundo donax	Arundo donax L.	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165066	165066	Ascidiella aspersa	Ascidiella aspersa (Müller, 1776)	Animalia	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	SPECIES	ACCEPTED		2019
165067	165067	Asparagus aethiopicus	Asparagus aethiopicus L.	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165068	165068	Asparagus asparagoides	Asparagus asparagoides (L.) Druce	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165069	165069	Asparagus scandens	Asparagus scandens Thunb.	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165070	165070	Asperococcus bullosus	Asperococcus bullosus J.V.Lamour.	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	SPECIES	ACCEPTED		2024
165071	165071	Asperococcus ensiformis	Asperococcus ensiformis (Chiaje) Wynne, 2003	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	SPECIES	ACCEPTED		2019
165072	165072	Asperococcus ensiformis	Asperococcus ensiformis (Delle Chiaje) M.J.Wynne	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	SPECIES	ACCEPTED		2024
165073	165073	Asphodelus fistulosus	Asphodelus fistulosus L.	Plantae	Tracheophyta	Liliopsida	Asparagales	Asphodelaceae	SPECIES	ACCEPTED		2024
165074	165074	Athene noctua	Athene noctua (Scopoli, 1769)	Animalia	Chordata	Aves	Strigiformes	Strigidae	SPECIES	ACCEPTED		2019
165075	165075	Austrobalanus imperator	Austrobalanus imperator (Darwin, 1854)	Animalia	Arthropoda	Maxillopoda	Sessilia	Austrobalanidae	SPECIES	ACCEPTED		2019
165076	165076	Austromegabalanus cylindricus	Austromegabalanus cylindricus (Gmelin, 1780)	Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES	ACCEPTED		2019
165077	165077	Austromegabalanus nigrescens	Austromegabalanus nigrescens (Lamarck, 1818)	Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES	ACCEPTED		2019
165078	165078	Austromegabalanus psittacus	Austromegabalanus psittacus (Molina, 1788)	Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES	ACCEPTED		2019
165079	165079	Azolla pinnata	Azolla pinnata R.Br.	Plantae	Tracheophyta	Polypodiopsida	Salviniales	Salviniaceae	SPECIES	ACCEPTED		2024
165080	165080	Baccharis halimifolia	Baccharis halimifolia L.	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED		2024
165081	165081	Banksia integrifolia	Banksia integrifolia L.fil.	Plantae	Tracheophyta	Magnoliopsida	Proteales	Proteaceae	SPECIES	ACCEPTED		2024
165082	165082	Barantolla lepte	Barantolla lepte Hutchings, 1974	Animalia	Annelida	Polychaeta		Capitellidae	SPECIES	ACCEPTED		2019
165083	165083	Barbronia weberi	Barbronia weberi (Blanchard, 1897)	Animalia	Annelida	Clitellata	Euhirudinea	Salifidae	SPECIES	ACCEPTED		2019
165084	165084	Barentsia matsushimana	Barentsia matsushimana Toriumi, 1951	Animalia	Entoprocta			Barentsiidae	SPECIES	ACCEPTED		2019
165085	165085	Bartlettina sordida	Bartlettina sordida (Less.) R.M.King & H.Rob.	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED		2024
165086	165086	Baseodiscus delineatus	Baseodiscus delineatus (Delle Chiaje, 1822)	Animalia	Nemertea	Pilidiophora	Heteronemertea	Valenciniidae	SPECIES	ACCEPTED		2024
165087	165087	Bellis perennis	Bellis perennis L.	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED		2024
165088	165088	Berberis darwinii	Berberis darwinii Hook.	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Berberidaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165089	165089	Berberis glaucocarpa	Berberis glaucocarpa Stapf	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Berberidaceae	SPECIES	ACCEPTED		2024
165090	165090	Betula pendula	Betula pendula Roth	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	SPECIES	ACCEPTED		2024
165091	165091	Biancaea decapetala	Biancaea decapetala (Roth) O.Deg.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	ACCEPTED		2024
165092	165092	Bidens frondosa	Bidens frondosa L.	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED		2024
165093	165093	Biflustra grandicella	Biflustra grandicella (Canu & Bassler, 1929)	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Membraniporidae	SPECIES	ACCEPTED		2019
165094	165094	Bobilla bivittata	Bobilla bivittata (F.Walker, 1869)	Animalia	Arthropoda	Insecta	Orthoptera	Trigonidiidae	SPECIES	ACCEPTED		2019
165095	165095	Boccardia proboscidea	Boccardia proboscidea Hartman, 1940	Animalia	Annelida	Polychaeta	Spionida	Spionidae	SPECIES	ACCEPTED		2019
165096	165096	Boccardia pseudonatrix	Boccardia pseudonatrix Day, 1961	Animalia	Annelida	Polychaeta	Spionida	Spionidae	SPECIES	ACCEPTED		2019
165097	165097	Bomarea multiflora	Bomarea multiflora (L.f.) Mirb.	Plantae	Tracheophyta	Liliopsida	Liliales	Alstroemeriaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165098	165098	Bombus hortorum	Bombus hortorum (Linnaeus, 1761)	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	SPECIES	ACCEPTED		2019
165099	165099	Bombus ruderatus	Bombus ruderatus (Fabricius, 1775)	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	SPECIES	ACCEPTED		2019
165100	165100	Bombus subterraneus	Bombus subterraneus (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	SPECIES	ACCEPTED		2019
165101	165101	Bombus terrestris	Bombus terrestris (Linnaeus, 1758)	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	SPECIES	ACCEPTED		2019
165102	165102	Bonnemaisonia hamifera	Bonnemaisonia hamifera Hariot	Plantae	Rhodophyta	Florideophyceae	Bonnemaisoniales	Bonnemaisoniaceae	SPECIES	ACCEPTED		2024
165103	165103	Bos taurus	Bos taurus Linnaeus, 1758	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	SPECIES	ACCEPTED		2019
165104	165104	Botrylloides giganteum	Botrylloides giganteus (Pérès, 1949)	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	SPECIES	ACCEPTED		2019
165105	165105	Botryllus tuberatus	Botryllus tuberatus Ritter & Forsyth, 1917	Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	SPECIES	ACCEPTED		2019
165106	165106	Branta canadensis	Branta canadensis (Linnaeus, 1758)	Animalia	Chordata	Aves	Anseriformes	Anatidae	SPECIES	ACCEPTED		2019
165107	165107	Bromus tectorum	Bromus tectorum L.	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED		2024
165108	165108	Bryonia cretica	Bryonia cretica L.	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Interest Pest Response (NIPR)	2024
165109	165109	Buddleja davidii	Buddleja davidii Franch.	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Scrophulariaceae	SPECIES	ACCEPTED		2024
165110	165110	Buddleja madagascariensis	Buddleja madagascariensis Lam.	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Scrophulariaceae	SPECIES	ACCEPTED		2024
165111	165111	Bugula neritina	Bugula neritina (Linnaeus, 1758)	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	SPECIES	ACCEPTED		2019
165112	165112	Bugulina flabellata	Bugulina flabellata (Thompson, 1848)	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	SPECIES	ACCEPTED		2019
165113	165113	Bugulina simplex	Bugulina simplex (Hincks, 1886)	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	SPECIES	ACCEPTED		2019
165114	165114	Bugulina stolonifera	Bugulina stolonifera (Ryland, 1960)	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	SPECIES	ACCEPTED		2019
165115	165115	Buskia socialis	Buskia socialis Hincks, 1887	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Buskiidae	SPECIES	ACCEPTED		2019
165116	165116	Cacatua galerita	Cacatua galerita (Latham, 1790)	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	SPECIES	ACCEPTED		2019
165117	165117	Calamagrostis arenaria	Calamagrostis arenaria (L.) Roth	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED		2024
165118	165118	Callipepla californica	Callipepla californica (Shaw, 1798)	Animalia	Chordata	Aves	Galliformes	Odontophoridae	SPECIES	ACCEPTED		2019
165119	165119	Callistachys lanceolata	Callistachys lanceolata Vent.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	ACCEPTED		2024
165120	165120	Calluna vulgaris	Calluna vulgaris (L.) Hull	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165121	165121	Callyspongia robusta	Callyspongia robusta (Ridley, 1884)	Animalia	Porifera	Demospongiae	Haplosclerida	Callyspongiidae	SPECIES	ACCEPTED		2019
165122	165122	Calystegia silvatica	Calystegia silvatica (Kit.) Griseb.	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	SPECIES	ACCEPTED		2024
165123	165123	Candidula intersecta	Xeroplexa intersecta (Poiret, 1801)	Animalia	Mollusca	Gastropoda	Stylommatophora	Geomitridae	SPECIES	SYNONYM		2019
165124	165124	Canna indica	Canna indica L.	Plantae	Tracheophyta	Liliopsida	Zingiberales	Cannaceae	SPECIES	ACCEPTED		2024
165125	165125	Cantareus aspersus	Cornu aspersum (O.F.Müller, 1774)	Animalia	Mollusca	Gastropoda	Stylommatophora	Helicidae	SPECIES	SYNONYM		2019
165126	165126	Capra hircus	Capra hircus Linnaeus, 1758	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	SPECIES	ACCEPTED		2019
165127	165127	Caprella andreae	Caprella andreae Mayer, 1890	Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	SPECIES	ACCEPTED		2019
165128	165128	Caprella mutica	Caprella mutica Schurin, 1935	Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	SPECIES	ACCEPTED		2019
165129	165129	Caprella penantis	Caprella penantis Leach, 1814	Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	SPECIES	ACCEPTED		2019
165130	165130	Caprella scauroides	Caprella scauroides Mayer, 1903	Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	SPECIES	ACCEPTED		2019
165131	165131	Carassius auratus	Carassius auratus (Linnaeus, 1758)	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	SPECIES	ACCEPTED		2019
165132	165132	Cardiocondyla minutior	Cardiocondyla minutior Forel, 1899	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	SPECIES	ACCEPTED		2019
165133	165133	Carduelis carduelis	Carduelis carduelis (Linnaeus, 1758)	Animalia	Chordata	Aves	Passeriformes	Fringillidae	SPECIES	ACCEPTED		2019
165134	165134	Carduelis chloris	Chloris chloris (Linnaeus, 1758)	Animalia	Chordata	Aves	Passeriformes	Fringillidae	SPECIES	SYNONYM		2019
165135	165135	Carduelis flammea	Acanthis flammea (Linnaeus, 1758)	Animalia	Chordata	Aves	Passeriformes	Fringillidae	SPECIES	SYNONYM		2019
165136	165136	Carex demissa	Carex demissa Hornem.	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	SPECIES	ACCEPTED		2024
165137	165137	Carex divisa	Carex divisa Huds.	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	SPECIES	ACCEPTED		2024
165138	165138	Carex divulsa	Carex divulsa Stokes	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	SPECIES	ACCEPTED		2024
165139	165139	Carex flacca	Carex flacca Schreb.	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	SPECIES	ACCEPTED		2024
165140	165140	Carex leporina	Carex leporina L.	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	SPECIES	ACCEPTED		2024
165141	165141	Carex longebrachiata	Carex longebrachiata Boeckeler	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	SPECIES	ACCEPTED		2024
165142	165142	Carex lurida	Carex lurida Wahlenb.	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	SPECIES	ACCEPTED		2024
165143	165143	Carex pendula	Carex pendula Huds.	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165144	165144	Carex scoparia	Carex scoparia Schkuhr ex Willd.	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	SPECIES	ACCEPTED		2024
165145	165145	Carpobrotus chilensis	Carpobrotus chilensis (Molina) N.E.Br.	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Aizoaceae	SPECIES	ACCEPTED		2024
165146	165146	Carpobrotus edulis	Carpobrotus edulis (L.) N.E.Br.	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Aizoaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165147	165147	Casuarina glauca	Casuarina glauca Sieber	Plantae	Tracheophyta	Magnoliopsida	Fagales	Casuarinaceae	SPECIES	ACCEPTED		2024
165148	165148	Caulerpa brachypus	Caulerpa brachypus Harv.	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	SPECIES	ACCEPTED	Unwanted Organism (UO)	2024
165149	165149	Caulerpa parvifolia	Caulerpa brachypus f. parvifolia (Harv.) A.B.Cribb, 1958	Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Caulerpaceae	SPECIES	SYNONYM		2024
165150	165150	Cecilioides acicula	Cecilioides acicula (O.F.Müller, 1774)	Animalia	Mollusca	Gastropoda	Stylommatophora	Ferussaciidae	SPECIES	ACCEPTED		2019
165151	165151	Celastrus orbiculatus	Celastrus orbiculatus Thunb.	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165152	165152	Celleporaria aperta	Celleporaria aperta (Hincks, 1882)	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Lepraliellidae	SPECIES	ACCEPTED		2019
165153	165153	Celleporaria nodulosa	Celleporaria nodulosa (Busk, 1881)	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Lepraliellidae	SPECIES	ACCEPTED		2019
165154	165154	Celleporaria umbonatoidea	Celleporaria umbonatoidea (Liu & Li, 1987)	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Lepraliellidae	SPECIES	ACCEPTED		2019
165155	165155	Cenchrus alopecuroides	Cenchrus alopecuroides (L.) Thunb.	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
